PLAYER NAME,PLAYER,matched_player
ML Hayden,MatthewHayden,ML Hayden
MM Patel,,
MM Sharma,,
MN Samuels,MarlonSamuels,MN Samuels
Mohammad Nabi,MohammadNabi,Mohammad Nabi
Mohammed Shami,MohammedShami,Mohammed Shami
MP Stoinis,MarcusStoinis,MP Stoinis
MR Marsh,ShaunMarsh,MR Marsh
MS Bisla,AzharBilakhia,MS Bisla
MS Dhoni,MSDhoni,MS Dhoni
MS Gony,ManpreetGony,MS Gony
Mustafizur Rahman,MustafizurRahman,Mustafizur Rahman
MV Boucher,MarkBoucher,MV Boucher
N Rana,SBBangar,N Rana
NLTC Perera,,
NM Coulter-Nile,,
NV Ojha,PragyanOjha,NV Ojha
OA Shah,ShaunPollock,OA Shah
P Dogra,ParasDogra,P Dogra
P Kumar,,
P Negi,PawanNegi,P Negi
PA Patel,,
Pankaj Singh,,
Parvez Rasool,ParveezRasool,Parvez Rasool
PC Valthaty,PaulValthaty,PC Valthaty
Pinal Shah,,
PJ Cummins,PatCummins,PJ Cummins
PJ Sangwan,PradeepSangwan,PJ Sangwan
PP Chawla,PiyushChawla,PP Chawla
PP Ojha,,
PV Tambe,PravinTambe,PV Tambe
Q de Kock,QuintondeKock,Q de Kock
R Ashwin,RavichandranAshwin,R Ashwin
R Bhatia,RajatBhatia,R Bhatia
R Dhawan,ShikharDhawan,R Dhawan
R Dravid,DavidWiese,R Dravid
R Sathish,RajagopalSathish,R Sathish
R Sharma,,
R Tewatia,,
R Vinay Kumar,,
RA Jadeja,RavindraJadeja,RA Jadeja
RA Tripathi,,
Rashid Khan,,
RG Sharma,,
RN ten Doeschate,RyantenDoeschate,RN ten Doeschate
RP Singh,RPSingh,RP Singh
RR Pant,RickyPonting,RR Pant
RR Powar,RameshPowar,RR Powar
RS Bopara,AakashChopra,RS Bopara
RV Uthappa,RobinUthappa,RV Uthappa
S Anirudha,SrikkanthAnirudha,S Anirudha
S Aravind,SreenathArvind,S Aravind
S Badree,SamuelBadree,S Badree
S Badrinath,SubramaniamBadrinath,S Badrinath
S Dhawan,,
S Gopal,VenugopalRao,S Gopal
S Kaul,DKalyankrishna,S Kaul
S Nadeem,NavdeepSaini,S Nadeem
S Sohal,SohailTanvir,S Sohal
S Sreesanth,ShanthakumaranSreesanth,S Sreesanth
SA Asnodkar,SAAsnodkar,SA Asnodkar
SA Yadav,,
Sachin Baby,SachinBaby,Sachin Baby
Sandeep Sharma,,
SB Jakati,ShadabJakati,SB Jakati
SB Styris,ScottStyris,SB Styris
SC Ganguly,SouravGanguly,SC Ganguly
SD Chitnis,SiddharthChitnis,SD Chitnis
SE Marsh,,
Shakib Al Hasan,HDas,Shakib Al Hasan
SK Raina,SureshRaina,SK Raina
SK Trivedi,SiddharthTrivedi,SK Trivedi
SK Warne,ShaneWarne,SK Warne
SL Malinga,LasithMalinga,SL Malinga
SN Khan,ZaheerKhan,SN Khan
SN Thakur,ShardulThakur,SN Thakur
SP Goswami,ShreevatsGoswami,SP Goswami
SP Narine,SunilNarine,SP Narine
SPD Smith,,
SR Tendulkar,SachinTendulkar,SR Tendulkar
SR Watson,ShaneWatson,SR Watson
SS Iyer,ShreyasIyer,SS Iyer
SS Tiwary,,
ST Jayasuriya,SanathJayasuriya,ST Jayasuriya
STR Binny,StuartBinny,STR Binny
SV Samson,SanjuSamson,SV Samson
SW Billings,SamBillings,SW Billings
SW Tait,TatendaTaibu,SW Tait
TA Boult,TrentBoult,TA Boult
TG Southee,TimSouthee,TG Southee
TL Suman,TirumalasettiSuman,TL Suman
TM Dilshan,DilharaFernando,TM Dilshan
U Chand,BalachandraAkhil,U Chand
UBT Chand,,
UT Yadav,,
V Kohli,ViratKohli,V Kohli
V Sehwag,VirenderSehwag,V Sehwag
V Shankar,,
VR Aaron,PAmarnath,VR Aaron
VVS Laxman,VVSLaxman,VVS Laxman
VY Mahesh,YoMahesh,VY Mahesh
Washington Sundar,WashingtonSundar,Washington Sundar
WD Parnell,WayneParnell,WD Parnell
WP Saha,MakhayaNtini,WP Saha
WPUJC Vaas,,
YK Pathan,,
YS Chahal,YuzvendraChahal,YS Chahal
Yuvraj Singh,,
Z Khan,,
