POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings,team_name,nationality,year
59,KieronPollard,100.0,13,0,4,11,16,5,0,MI,Overseas,2016
60,ChrisJordan,97.5,9,11,49,0,0,4,0,RCB,Overseas,2016
61,ParthivPatel,96.5,10,0,0,23,4,9,1,MI,Indian,2016
62,ManishPandey,91.5,12,0,0,17,9,7,0,KKR,Indian,2016
63,RajatBhatia,89.5,10,6,54,1,2,2,0,RPS,Indian,2016
64,SanjuSamson,88.0,14,0,0,20,8,3,1,DD,Indian,2016
65,UmeshYadav,87.0,9,10,46,0,1,1,0,KKR,Indian,2016
66,GlennMaxwell,86.5,11,0,16,14,8,3,0,KXIP,Overseas,2016
67,FafduPlessis,84.0,6,0,0,17,9,4,0,RPS,Overseas,2016
68,SuryakumarYadav,80.0,15,0,0,19,5,6,0,KKR,Indian,2016
69,NamanOjha,80.0,17,0,0,7,5,18,0,SRH,Indian,2016
70,IqbalAbdulla,79.5,8,6,35,4,1,4,0,RCB,Indian,2016
71,MuruganAshwin,79.5,10,7,55,0,0,0,0,RPS,Indian,2016
72,DeepakHooda,79.0,17,3,21,9,5,3,0,SRH,Indian,2016
73,RishabhPant,76.0,10,0,0,19,6,3,0,DD,Indian,2016
74,BenCutting,74.0,4,5,23,4,6,1,0,SRH,Overseas,2016
75,AdamZampa,74.0,5,12,32,0,0,0,0,RPS,Overseas,2016
76,JPDuminy,69.5,10,2,12,13,3,3,0,DD,Overseas,2016
77,ShivilKaushik,69.0,7,6,48,0,0,0,0,GL,Indian,2016
78,DavidMiller,66.5,14,0,0,11,4,10,0,KXIP,Overseas,2016
79,SaurabhTiwary,66.5,10,0,0,17,4,4,0,RPS,Indian,2016
80,MananVohra,65.5,7,0,0,19,3,3,0,KXIP,Indian,2016
81,StuartBinny,65.5,14,1,28,5,4,3,0,RCB,Indian,2016
82,GurkeeratMannSingh,64.5,7,2,7,11,3,5,0,KXIP,Indian,2016
83,HardikPandya,64.5,11,3,29,4,0,6,0,MI,Indian,2016
84,HashimAmla,64.0,6,0,0,20,4,0,0,KXIP,Overseas,2016
85,KaneRichardson,63.5,4,7,34,0,0,2,0,RCB,Overseas,2016
86,MohammedShami,59.0,8,5,39,0,0,1,0,DD,Indian,2016
87,BipulSharma,56.5,7,3,21,1,5,2,0,SRH,Indian,2016
88,VarunAaron,55.0,8,2,48,0,0,0,0,RCB,Indian,2016
89,SachinBaby,54.5,11,2,5,9,5,1,0,RCB,Indian,2016
90,KCCariappa,54.0,5,3,35,0,1,2,0,KXIP,Indian,2016
91,JamesFaulkner,53.0,7,2,21,7,0,3,0,GL,Overseas,2016
92,BradHogg,52.5,5,4,31,0,0,3,0,KKR,Overseas,2016
93,IshantSharma,52.5,4,3,37,0,0,2,0,RPS,Indian,2016
94,KuldeepYadav,51.5,3,6,28,0,0,1,0,KKR,Indian,2016
95,NathanCoulter-Nile,50.0,4,3,37,1,0,0,0,DD,Overseas,2016
96,KaneWilliamson,49.5,6,0,2,14,0,5,0,SRH,Overseas,2016
97,ShaunMarsh,49.0,6,0,0,13,4,1,0,KXIP,Overseas,2016
98,NitishRana,48.5,4,0,3,7,8,0,0,MI,Indian,2016
99,PravinTambe,48.5,7,5,26,1,0,1,0,GL,Indian,2016
100,UsmanKhawaja,48.0,6,0,0,14,3,1,0,RPS,Overseas,2016
101,JayantYadav,47.5,5,2,38,0,0,1,0,DD,Indian,2016
102,ShadabJakati,47.0,6,2,30,0,0,4,0,GL,Indian,2016
103,ImranTahir,45.0,4,5,25,1,0,0,0,DD,Overseas,2016
104,JasonHolder,42.5,4,2,27,2,1,0,0,KKR,Overseas,2016
105,MitchellMarsh,42.0,3,4,28,0,0,0,0,RPS,Overseas,2016
106,EoinMorgan,41.5,7,0,0,8,4,3,0,SRH,Overseas,2016
107,PradeepSahu,40.5,5,3,24,1,1,0,0,KXIP,Indian,2016
108,RPSingh,39.5,4,3,29,0,0,0,0,RPS,Indian,2016
109,VinayKumar,39.0,3,3,25,0,1,0,0,MI,Indian,2016
110,TabraizShamsi,39.0,4,3,26,0,0,1,0,RCB,Overseas,2016
111,KyleAbbott,38.5,5,2,28,0,1,0,0,KXIP,Overseas,2016
112,ShahbazNadeem,38.0,4,2,31,0,0,0,0,DD,Indian,2016
113,HarshalPatel,36.5,5,1,28,0,0,2,0,RCB,Indian,2016
114,PawanNegi,35.0,8,1,11,2,3,2,0,DD,Indian,2016
115,GeorgeBailey,34.5,6,0,0,9,2,2,0,RPS,Overseas,2016
116,ParveezRasool,33.0,4,1,22,1,0,2,0,RCB,Indian,2016
117,SamBillings,31.5,5,0,0,4,4,3,0,DD,Overseas,2016
118,SarfarazKhan,31.5,5,0,0,7,4,0,0,RCB,Indian,2016
119,MitchellJohnson,30.5,3,2,21,0,0,1,0,KXIP,Overseas,2016
120,AshishReddy,30.0,4,1,5,2,4,1,0,SRH,Indian,2016
121,KarnSharma,30.0,5,0,19,3,1,0,0,SRH,Indian,2016
122,JohnHastings,29.0,2,2,22,0,0,0,0,KKR,Overseas,2016
123,AnkitRajpoot,28.5,4,3,18,0,0,0,0,KKR,Indian,2016
124,AlbieMorkel,25.5,2,2,9,0,2,1,0,RPS,Overseas,2016
125,AnkitSharma,23.0,3,1,17,0,0,1,0,RPS,Indian,2016
126,KevinPietersen,23.0,4,0,0,4,3,1,0,RPS,Overseas,2016
127,RishiDhawan,22.5,2,2,12,0,1,0,0,KXIP,Indian,2016
128,ScottBoland,21.0,2,2,14,0,0,0,0,RPS,Overseas,2016
129,IrfanPathan,20.5,4,0,18,0,0,1,0,RPS,Indian,2016
130,ShreyasIyer,18.5,6,0,0,2,1,4,0,DD,Indian,2016
131,MartinGuptill,18.0,3,0,0,3,3,0,0,MI,Overseas,2016
132,ColinMunro,17.5,4,0,5,3,0,2,0,KKR,Overseas,2016
133,RajagopalSathish,17.5,4,1,8,1,1,0,0,KKR,Indian,2016
134,TrentBoult,17.0,1,1,11,0,0,1,0,SRH,Overseas,2016
135,EklavyaDwivedi,17.0,4,0,0,2,2,2,0,GL,Indian,2016
136,DeepakChahar,15.5,2,0,13,0,0,1,0,RPS,Indian,2016
137,IshanKishan,15.0,5,0,0,5,0,1,0,GL,Indian,2016
138,TravisHead,14.5,3,0,0,3,2,0,0,RCB,Overseas,2016
139,KedarJadhav,14.5,4,0,0,2,2,1,0,RCB,Indian,2016
140,AdamMilne,13.0,1,1,7,0,0,1,0,RCB,Overseas,2016
141,AnureetSingh,12.0,2,0,12,0,0,0,0,KXIP,Indian,2016
142,PradeepSangwan,11.5,2,0,9,0,0,1,0,GL,Indian,2016
143,MayankAgarwal,11.0,3,0,0,3,1,0,0,DD,Indian,2016
144,DavidWiese,8.5,1,0,6,0,0,1,0,RCB,Overseas,2016
145,FarhaanBehardien,7.5,3,0,0,2,0,1,0,KXIP,Overseas,2016
146,NikhilNaik,7.5,2,0,0,1,0,2,0,KXIP,Indian,2016
147,ChrisLynn,6.0,2,0,0,0,1,1,0,KKR,Overseas,2016
148,JaydevUnadkat,5.0,1,0,5,0,0,0,0,KKR,Indian,2016
149,AdityaTare,5.0,3,0,0,1,0,1,0,SRH,Indian,2016
150,DaleSteyn,5.0,1,0,5,0,0,0,0,GL,Overseas,2016
151,ShreyasGopal,4.0,1,0,4,0,0,0,0,MI,Indian,2016
152,LendlSimmons,3.5,1,0,0,0,1,0,0,MI,Overseas,2016
153,SwapnilSingh,3.0,1,0,3,0,0,0,0,KXIP,Indian,2016
154,SarabjitLadda,3.0,1,0,3,0,0,0,0,GL,Indian,2016
155,MandeepSingh,2.5,1,0,0,0,0,1,0,RCB,Indian,2016
156,AkshdeepNath,2.5,4,0,0,1,0,0,0,GL,Indian,2016
157,UnmuktChand,0.0,1,0,0,0,0,0,0,MI,Indian,2016
158,JagadeeshaSuchith,0.0,1,0,0,0,0,0,0,MI,Indian,2016
159,PeterHandscomb,0.0,2,0,0,0,0,0,0,RPS,Overseas,2016
1,SunilNarine,298.0,16,10,133,34,10,4,0,KKR,Overseas,2017
2,DavidWarner,273.5,14,0,0,63,26,10,0,SRH,Overseas,2017
3,BenStokes,270.0,12,12,108,22,15,5,0,RPS,Overseas,2017
4,JaydevUnadkat,225.5,12,24,119,0,0,9,0,RPS,Indian,2017
5,GlennMaxwell,218.5,14,7,38,19,26,7,0,KXIP,Overseas,2017
6,AxarPatel,218.0,14,15,82,11,11,7,0,KXIP,Indian,2017
7,BhuvneshwarKumar,218.0,14,26,117,0,0,4,0,SRH,Indian,2017
8,RobinUthappa,201.0,14,0,0,36,21,9,6,KKR,Indian,2017
9,JaspritBumrah,200.5,16,20,122,0,1,2,0,MI,Indian,2017
10,KrunalPandya,198.5,13,10,74,24,7,2,0,MI,Indian,2017
11,RashidKhan,196.5,14,17,121,0,1,5,0,SRH,Overseas,2017
12,HardikPandya,193.5,17,6,45,11,20,12,0,MI,Indian,2017
13,PawanNegi,193.0,12,16,80,10,7,3,0,RCB,Indian,2017
14,GautamGambhir,192.0,16,0,0,61,7,6,0,KKR,Indian,2017
15,MitchellMcClenaghan,191.5,14,19,119,0,1,1,0,MI,Overseas,2017
16,UmeshYadav,186.5,14,17,117,0,0,4,0,KKR,Indian,2017
17,ChrisMorris,184.0,9,12,71,15,6,5,0,DC,Overseas,2017
18,SureshRaina,184.0,14,1,20,42,13,4,0,GL,Indian,2017
19,SandeepSharma,182.0,13,17,115,0,0,3,0,KXIP,Indian,2017
20,RishabhPant,181.5,14,0,0,28,24,8,3,DC,Indian,2017
21,ShikharDhawan,181.5,14,0,0,53,9,7,0,SRH,Indian,2017
22,KieronPollard,179.5,17,0,0,26,22,15,0,MI,Overseas,2017
23,RahulTripathi,179.5,14,0,0,43,17,5,0,RPS,Indian,2017
24,ChrisWoakes,175.0,13,17,87,4,1,6,0,KKR,Overseas,2017
25,ParthivPatel,170.5,16,0,0,49,8,6,2,MI,Indian,2017
26,PatCummins,165.5,12,15,84,5,4,1,0,DC,Overseas,2017
27,ImranTahir,162.0,12,18,94,0,0,2,0,RPS,Overseas,2017
28,HashimAmla,159.5,10,0,0,40,17,0,0,KXIP,Overseas,2017
29,DanChristian,157.5,13,11,74,5,5,6,0,RPS,Overseas,2017
30,SanjuSamson,156.5,14,0,0,32,19,4,0,DC,Indian,2017
31,BrendonMcCullum,155.5,11,0,0,29,18,8,0,GL,Overseas,2017
32,SteveSmith,154.5,15,0,0,38,12,7,0,RPS,Overseas,2017
33,MohitSharma,151.0,14,13,87,3,1,3,0,KXIP,Indian,2017
34,YuzvendraChahal,148.5,13,14,92,0,0,3,0,RCB,Indian,2017
35,KarnSharma,147.5,9,13,75,5,2,3,0,MI,Indian,2017
36,AaronFinch,141.5,13,0,0,25,19,5,0,GL,Overseas,2017
37,DwayneSmith,139.5,12,2,17,32,8,3,0,GL,Overseas,2017
38,AjinkyaRahane,136.5,16,0,0,35,9,7,0,RPS,Indian,2017
39,NathanCoulter-Nile,134.5,8,15,70,0,2,2,0,KKR,Overseas,2017
40,LasithMalinga,134.5,12,11,90,0,1,1,0,MI,Overseas,2017
41,ChrisLynn,134.0,7,0,0,25,19,2,0,KKR,Overseas,2017
42,RohitSharma,134.0,17,0,0,31,9,10,0,MI,Indian,2017
43,DineshKarthik,133.5,14,0,0,30,11,8,0,GL,Indian,2017
44,ShardulThakur,133.5,12,11,85,0,0,4,0,RPS,Indian,2017
45,ShreyasIyer,132.5,12,0,0,36,10,3,0,DC,Indian,2017
46,AmitMishra,132.5,14,10,78,2,2,3,0,DC,Indian,2017
47,HarbhajanSingh,132.5,11,8,96,0,1,2,0,MI,Indian,2017
48,ManishPandey,132.0,14,0,0,28,12,8,0,KKR,Indian,2017
49,NitishRana,129.5,13,0,0,24,17,4,0,MI,Indian,2017
50,SiddarthKaul,128.5,10,16,65,0,0,3,0,SRH,Indian,2017
51,ManojTiwary,128.5,15,0,0,31,11,5,0,RPS,Indian,2017
52,MoisesHenriques,127.0,12,1,27,28,4,5,0,SRH,Overseas,2017
53,RavindraJadeja,126.0,12,5,57,13,4,2,0,GL,Indian,2017
54,MSDhoni,126.0,16,0,0,15,16,10,3,RPS,Indian,2017
55,BasilThampi,125.5,12,11,76,1,1,2,0,GL,Indian,2017
56,IshanKishan,125.5,11,0,0,29,13,3,0,GL,Indian,2017
57,KarunNair,123.5,14,0,0,39,6,2,0,DC,Indian,2017
58,KuldeepYadav,123.5,12,12,74,2,0,1,0,KKR,Indian,2017
59,JosButtler,122.5,10,0,0,27,15,1,0,MI,Overseas,2017
60,KedarJadhav,122.5,13,0,0,25,10,7,3,RCB,Indian,2017
61,WashingtonSundar,121.5,11,8,81,0,0,5,0,RPS,Indian,2017
62,ZaheerKhan,117.0,11,10,72,0,0,4,0,DC,Indian,2017
63,YuvrajSingh,116.0,12,1,2,30,8,3,0,SRH,Indian,2017
64,ShaunMarsh,112.5,9,0,0,36,5,2,0,KXIP,Overseas,2017
65,ViratKohli,111.0,10,0,0,23,11,6,0,RCB,Indian,2017
66,WriddhimanSaha,108.0,14,0,0,20,8,10,2,KXIP,Indian,2017
67,AndrewTye,106.5,6,12,44,4,3,0,0,GL,Overseas,2017
68,ABdeVilliers,101.0,9,0,0,12,16,6,0,RCB,Overseas,2017
69,SamuelBadree,98.5,7,9,62,0,0,2,0,RCB,Overseas,2017
70,ColindeGrandhomme,98.0,12,4,33,10,6,2,0,KKR,Overseas,2017
71,CoreyAnderson,94.5,11,3,20,8,9,5,0,DC,Overseas,2017
72,MananVohra,94.0,11,0,0,23,9,2,0,KXIP,Indian,2017
73,ChrisGayle,91.5,9,0,0,15,14,2,0,RCB,Overseas,2017
74,MohammedShami,89.5,8,5,55,4,2,0,0,DC,Indian,2017
75,MitchellJohnson,88.0,5,7,55,1,1,1,0,MI,Overseas,2017
76,ShaneWatson,88.0,8,5,47,6,1,2,0,RCB,Overseas,2017
77,KaneWilliamson,87.5,7,0,0,20,10,1,0,SRH,Overseas,2017
78,MohammedSiraj,85.5,6,10,48,0,0,1,0,SRH,Indian,2017
79,KagisoRabada,85.0,6,6,48,5,1,0,0,DC,Overseas,2017
80,SreenathArvind,83.0,10,5,58,2,0,1,0,RCB,Indian,2017
81,MandeepSingh,81.5,11,0,0,21,4,6,0,RCB,Indian,2017
82,AshishNehra,77.5,6,8,47,0,0,1,0,SRH,Indian,2017
83,VarunAaron,75.5,6,7,51,0,0,0,0,KXIP,Indian,2017
84,MartinGuptill,75.0,7,0,0,17,5,6,0,KXIP,Overseas,2017
85,ShahbazNadeem,73.0,7,6,47,0,0,2,0,DC,Indian,2017
86,JamesFaulkner,72.5,8,6,34,4,0,3,0,GL,Overseas,2017
87,TrentBoult,70.5,6,5,53,0,0,0,0,KKR,Overseas,2017
88,AniketChoudhary,65.5,5,5,42,1,1,0,0,RCB,Indian,2017
89,AdamZampa,65.0,6,7,38,1,0,0,0,RPS,Overseas,2017
90,TymalMills,64.5,5,5,41,0,1,1,0,RCB,Overseas,2017
91,TravisHead,62.5,7,2,7,9,6,2,0,RCB,Overseas,2017
92,PradeepSangwan,61.5,5,5,44,0,0,0,0,GL,Indian,2017
93,SamBillings,61.0,6,0,0,19,1,4,0,DC,Overseas,2017
94,PraveenKumar,61.0,6,6,40,0,0,0,0,GL,Indian,2017
95,YusufPathan,60.0,15,1,8,9,6,2,0,KKR,Indian,2017
96,PiyushChawla,59.5,6,6,36,0,0,1,0,KKR,Indian,2017
97,LendlSimmons,58.0,7,0,0,10,8,2,0,MI,Overseas,2017
98,DeepakHooda,53.0,10,2,7,5,4,5,0,SRH,Indian,2017
99,StuartBinny,51.0,8,4,9,6,3,1,0,RCB,Indian,2017
100,LockieFerguson,50.5,4,3,40,0,0,0,0,RPS,Overseas,2017
101,AnkitSoni,50.0,7,2,37,0,1,1,0,GL,Indian,2017
102,BipulSharma,49.5,7,3,28,2,1,1,0,SRH,Indian,2017
103,BenCutting,49.0,4,1,20,5,3,1,0,SRH,Overseas,2017
104,DhawalKulkarni,48.0,6,3,35,0,0,1,0,GL,Indian,2017
105,AnkitRajpoot,46.0,5,4,27,1,0,1,0,KKR,Indian,2017
106,AdamMilne,45.5,4,3,25,0,0,4,0,RCB,Overseas,2017
107,RahulTewatia,43.5,3,3,23,4,0,0,0,KXIP,Indian,2017
108,SuryakumarYadav,43.0,10,0,0,8,3,5,0,KKR,Indian,2017
109,MohammadNabi,41.0,3,2,34,0,0,0,0,SRH,Overseas,2017
110,KCCariappa,38.5,4,4,22,0,0,1,0,KXIP,Indian,2017
111,TimSouthee,37.5,3,3,21,0,1,1,0,MI,Overseas,2017
112,VijayShankar,36.0,4,0,0,12,1,1,0,SRH,Indian,2017
113,AmbatiRayudu,35.5,5,0,0,7,3,3,0,MI,Indian,2017
114,IshantSharma,34.5,6,0,32,1,0,0,0,KXIP,Indian,2017
115,TNatarajan,31.0,6,2,24,0,0,0,0,KXIP,Indian,2017
116,NamanOjha,30.5,14,0,0,2,3,6,0,SRH,Indian,2017
117,EoinMorgan,29.5,4,0,0,6,2,3,0,KXIP,Overseas,2017
118,DavidMiller,29.0,5,0,0,4,4,2,0,KXIP,Overseas,2017
119,JasonRoy,28.5,3,0,0,9,1,1,0,GL,Overseas,2017
120,MarcusStoinis,27.0,5,2,10,1,0,3,0,KXIP,Overseas,2017
121,AshokDinda,27.0,3,1,21,1,0,0,0,RPS,Indian,2017
122,BillyStanlake,26.5,2,2,17,0,0,1,0,RCB,Overseas,2017
123,RahulChahar,25.5,3,2,16,0,0,1,0,RPS,Indian,2017
124,RajatBhatia,24.5,3,2,9,0,1,2,0,RPS,Indian,2017
125,SaurabhTiwary,22.5,1,0,0,9,0,0,0,MI,Indian,2017
126,DeepakChahar,22.5,3,1,12,0,2,0,0,RPS,Indian,2017
127,HarshalPatel,18.5,1,3,8,0,0,0,0,RCB,Indian,2017
128,SheldonJackson,17.5,4,0,0,5,0,2,0,KKR,Indian,2017
129,MarlonSamuels,17.0,5,0,5,1,2,1,0,DC,Overseas,2017
130,AngeloMathews,16.5,3,0,3,2,1,2,0,DC,Overseas,2017
131,NathuSingh,16.5,2,1,13,0,0,0,0,GL,Indian,2017
132,CarlosBrathwaite,14.5,2,1,6,2,0,0,0,DC,Overseas,2017
133,AveshKhan,14.5,1,1,11,0,0,0,0,RCB,Indian,2017
134,MunafPatel,13.5,2,1,10,0,0,0,0,GL,Indian,2017
135,JayantYadav,13.0,2,0,13,0,0,0,0,DC,Indian,2017
136,SwapnilSingh,13.0,4,1,7,0,0,1,0,KXIP,Indian,2017
137,VinayKumar,13.0,1,2,6,0,0,0,0,MI,Indian,2017
138,IqbalAbdulla,13.0,2,2,6,0,0,0,0,RCB,Indian,2017
139,ShubhamAgarwal,13.0,1,1,7,0,0,1,0,GL,Indian,2017
140,VishnuVinod,11.0,3,0,0,1,1,0,2,RCB,Indian,2017
141,MattHenry,10.5,2,1,7,0,0,0,0,KXIP,Overseas,2017
142,SachinBaby,10.0,3,0,0,2,0,2,0,RCB,Indian,2017
143,MayankAgarwal,10.0,3,0,0,3,0,1,0,RPS,Indian,2017
144,AnkitSharma,9.5,1,0,1,2,1,0,0,RPS,Indian,2017
145,AdityaTare,7.5,3,0,0,3,0,0,0,DC,Indian,2017
146,IshankJaggi,7.5,2,0,0,3,0,0,0,KKR,Indian,2017
147,AnureetSingh,7.0,1,0,2,2,0,0,0,KXIP,Indian,2017
148,TejasBaroka,6.0,1,0,6,0,0,0,0,GL,Indian,2017
149,ChrisJordan,5.5,1,1,2,0,0,0,0,SRH,Overseas,2017
150,ShakibAlHasan,5.0,1,0,5,0,0,0,0,KKR,Overseas,2017
151,BarinderSran,4.0,1,0,4,0,0,0,0,SRH,Indian,2017
152,ManpreetGony,4.0,1,0,4,0,0,0,0,GL,Indian,2017
153,ShadabJakati,4.0,2,0,4,0,0,0,0,GL,Indian,2017
154,IrfanPathan,4.0,1,0,4,0,0,0,0,GL,Indian,2017
155,MustafizurRahman,3.0,1,0,3,0,0,0,0,SRH,Overseas,2017
156,AnkitBawne,2.5,1,0,0,1,0,0,0,DC,Indian,2017
157,DarrenBravo,2.5,1,0,0,1,0,0,0,KKR,Overseas,2017
158,FafduPlessis,2.5,2,0,0,1,0,0,0,RPS,Overseas,2017
159,GurkeeratMannSingh,0.0,2,0,0,0,0,0,0,KXIP,Indian,2017
160,RinkuSingh,0.0,1,0,0,0,0,0,0,KXIP,Indian,2017
161,AkshdeepNath,0.0,1,0,0,0,0,0,0,GL,Indian,2017
1,SunilNarine,379.5,16,17,137,40,23,1,0,KKR,Overseas,2018
2,ShaneWatson,318.0,15,6,57,44,35,3,0,CSK,Overseas,2018
3,RishabhPant,314.5,14,0,0,68,37,4,2,DD,Indian,2018
4,LokeshRahul,304.5,14,0,0,66,32,10,1,KXIP,Indian,2018
5,AndreRussell,292.5,16,13,76,17,31,8,0,KKR,Overseas,2018
6,RashidKhan,284.0,17,21,167,3,6,6,0,SRH,Overseas,2018
7,KaneWilliamson,273.0,17,0,0,64,28,6,0,SRH,Overseas,2018
8,HardikPandya,269.5,13,18,98,20,11,8,0,MI,Indian,2018
9,AmbatiRayudu,256.5,16,0,0,53,34,2,0,CSK,Indian,2018
10,KrunalPandya,239.5,14,12,85,22,10,9,0,MI,Indian,2018
11,ShakibAlHasan,237.0,17,14,98,26,5,3,0,SRH,Overseas,2018
12,SuryakumarYadav,228.5,14,0,0,61,16,8,0,MI,Indian,2018
13,JosButtler,228.5,13,0,0,52,21,9,1,RR,Overseas,2018
14,ShikharDhawan,226.5,16,0,0,59,14,12,0,SRH,Indian,2018
15,DineshKarthik,223.5,16,0,0,49,16,14,4,KKR,Indian,2018
16,UmeshYadav,223.0,14,20,148,0,0,2,0,RCB,Indian,2018
17,AndrewTye,221.0,14,24,116,2,1,5,0,KXIP,Overseas,2018
18,ABdeVilliers,217.5,12,0,0,39,30,6,0,RCB,Overseas,2018
19,DwayneBravo,216.5,16,14,90,8,10,9,0,CSK,Overseas,2018
20,ViratKohli,213.0,14,0,0,52,18,8,0,RCB,Indian,2018
21,ChrisLynn,210.5,16,0,0,56,18,3,0,KKR,Overseas,2018
22,SiddarthKaul,209.5,17,21,131,0,0,2,0,SRH,Indian,2018
23,KrishnappaGowtham,207.5,15,11,90,9,9,10,0,RR,Indian,2018
24,JaspritBumrah,205.0,14,17,133,1,0,4,0,MI,Indian,2018
25,TrentBoult,203.5,14,18,118,0,0,9,0,DD,Overseas,2018
26,MSDhoni,200.0,16,0,0,24,30,11,3,CSK,Indian,2018
27,ShardulThakur,186.5,13,16,113,3,0,4,0,CSK,Indian,2018
28,SureshRaina,179.5,15,0,0,46,12,9,0,CSK,Indian,2018
29,PiyushChawla,175.0,15,14,110,1,1,4,0,KKR,Indian,2018
30,YuzvendraChahal,175.0,14,12,128,0,0,2,0,RCB,Indian,2018
31,ChrisGayle,174.5,11,0,0,30,27,2,0,KXIP,Overseas,2018
32,BenStokes,173.5,13,8,77,13,6,6,0,RR,Overseas,2018
33,EvinLewis,171.5,13,0,0,32,24,3,0,MI,Overseas,2018
34,DeepakChahar,171.0,12,10,117,1,4,1,0,CSK,Indian,2018
35,KuldeepYadav,171.0,16,17,94,1,0,6,0,KKR,Indian,2018
36,RavindraJadeja,169.5,16,11,82,3,4,11,0,CSK,Indian,2018
37,JaydevUnadkat,169.0,15,11,97,6,1,6,0,RR,Indian,2018
38,BhuvneshwarKumar,163.0,12,9,124,1,0,2,0,SRH,Indian,2018
39,SandeepSharma,163.0,12,12,116,0,0,2,0,SRH,Indian,2018
40,RobinUthappa,161.0,16,0,0,30,21,5,0,KKR,Indian,2018
41,RavichandranAshwin,159.5,14,10,77,7,5,5,0,KXIP,Indian,2018
42,ShreyasIyer,158.5,14,0,0,29,21,5,0,DD,Indian,2018
43,MitchellMcClenaghan,158.0,11,14,103,1,1,0,0,MI,Overseas,2018
44,JofraArcher,158.0,10,15,98,2,0,1,0,RR,Overseas,2018
45,SanjuSamson,154.0,15,0,0,30,19,5,0,RR,Indian,2018
46,MayankMarkande,152.0,14,15,87,2,0,3,0,MI,Indian,2018
47,NitishRana,150.0,15,4,17,26,14,2,0,KKR,Indian,2018
48,MujeebUrRahman,149.5,11,14,93,2,0,1,0,KXIP,Overseas,2018
49,MohammedSiraj,149.5,11,11,90,2,1,5,0,RCB,Indian,2018
50,IshanKishan,142.0,14,0,0,22,17,9,2,MI,Indian,2018
51,ShreyasGopal,126.5,11,11,68,5,0,3,0,RR,Indian,2018
52,GlennMaxwell,126.0,12,5,32,14,9,4,0,DD,Overseas,2018
53,AnkitRajpoot,126.0,8,11,80,1,0,2,0,KXIP,Indian,2018
54,KarunNair,125.5,13,0,0,23,13,9,0,KXIP,Indian,2018
55,AjinkyaRahane,125.0,15,0,0,39,5,4,0,RR,Indian,2018
56,RohitSharma,124.5,14,0,0,25,12,8,0,MI,Indian,2018
57,LungiNgidi,120.0,7,11,79,0,0,1,0,CSK,Overseas,2018
58,AmitMishra,116.0,10,12,74,0,0,0,0,DD,Indian,2018
59,HarbhajanSingh,113.5,13,7,68,3,1,4,0,CSK,Indian,2018
60,PrithviShaw,112.5,9,0,0,27,10,4,0,DD,Indian,2018
61,YusufPathan,106.5,15,1,2,22,11,3,0,SRH,Indian,2018
62,QuintondeKock,103.0,8,0,0,20,8,7,3,RCB,Overseas,2018
63,TimSouthee,100.0,8,5,59,5,1,3,0,RCB,Overseas,2018
64,PrasidhKrishna,97.5,7,10,60,0,0,1,0,KKR,Indian,2018
65,ManishPandey,95.0,15,0,0,22,5,9,0,SRH,Indian,2018
66,VijayShankar,92.5,13,1,8,11,11,6,0,DD,Indian,2018
67,ShivamMavi,91.5,9,5,64,1,0,3,0,KKR,Indian,2018
68,BenCutting,89.0,9,2,24,5,8,7,0,MI,Overseas,2018
69,MustafizurRahman,88.5,7,7,59,0,0,2,0,MI,Overseas,2018
70,MandeepSingh,88.5,14,0,0,16,11,4,0,RCB,Indian,2018
71,ColindeGrandhomme,85.5,9,2,26,4,10,3,0,RCB,Overseas,2018
72,HarshalPatel,84.0,5,7,36,1,6,0,0,DD,Indian,2018
73,ChrisWoakes,83.5,5,8,47,1,1,1,0,RCB,Overseas,2018
74,RahulTewatia,83.0,8,6,41,5,1,2,0,DD,Indian,2018
75,RahulTripathi,83.0,12,0,0,18,8,4,0,RR,Indian,2018
76,MohitSharma,82.0,9,7,50,1,0,2,0,KXIP,Indian,2018
77,ShubmanGill,80.0,13,0,0,22,5,3,0,KKR,Indian,2018
78,AxarPatel,78.0,9,3,41,3,4,2,0,KXIP,Indian,2018
79,CarlosBrathwaite,76.0,4,5,23,1,8,2,0,SRH,Overseas,2018
80,MoeenAli,73.5,5,3,27,4,6,2,0,RCB,Overseas,2018
81,ParthivPatel,71.5,6,0,0,20,4,3,0,RCB,Indian,2018
82,DhawalKulkarni,70.5,8,4,54,0,0,1,0,RR,Indian,2018
83,WashingtonSundar,69.5,7,4,29,5,4,0,0,RCB,Indian,2018
84,IshSodhi,68.5,6,5,51,0,0,0,0,RR,Overseas,2018
85,BenLaughlin,68.0,7,9,34,0,0,1,0,RR,Overseas,2018
86,BillyStanlake,67.0,4,5,47,1,0,0,0,SRH,Overseas,2018
87,FafduPlessis,66.0,6,0,0,17,6,1,0,CSK,Overseas,2018
88,ImranTahir,66.0,6,6,40,0,0,2,0,CSK,Overseas,2018
89,BarinderSran,66.0,6,4,47,0,0,2,0,KXIP,Indian,2018
90,AveshKhan,65.5,6,4,44,0,0,3,0,DD,Indian,2018
91,BrendonMcCullum,63.5,6,0,0,16,6,1,0,RCB,Overseas,2018
92,MitchellJohnson,63.0,6,2,46,2,0,2,0,KKR,Overseas,2018
93,D'ArcyShort,61.5,7,1,8,11,5,2,0,RR,Overseas,2018
